FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
970501;0000;2,33024;;;
970601;0000;2,37014;;;
970701;0000;3,41343;;;
970801;0000;1,86248;;;
970901;0000;0,821711;;;
971001;0000;0,320371;;;
971101;0000;0,255172;;;
971201;0000;0,364969;;;
980101;0000;0,259073;;;
980201;0000;0,258459;;;
980301;0000;0,794582;;;
980401;0000;1,23911;;;
980501;0000;2,33871;;;
980601;0000;2,40528;;;
980701;0000;2,11634;;;
980801;0000;1,17024;;;
980901;0000;0,885591;;;
981001;0000;0,352239;;;
981101;0000;0,214833;;;
981201;0000;0,274433;;;
990101;0000;0,236962;;;
990201;0000;0,306222;;;
990301;0000;0,476762;;;
990401;0000;1,24657;;;
990501;0000;2,04541;;;
990601;0000;2,17263;;;
990701;0000;2,8316;;;
990801;0000;1,53495;;;
990901;0000;0,97765;;;
991001;0000;0,41736;;;
991101;0000;0,267869;;;
991201;0000;0,263575;;;
000101;0000;0,253641;;;
000201;0000;0,304351;;;
000301;0000;0,509139;;;
000401;0000;1,21408;;;
000501;0000;2,33591;;;
000601;0000;1,79036;;;
000701;0000;3,0125;;;
000801;0000;1,2179;;;
000901;0000;0,818964;;;
001001;0000;0,294722;;;
001101;0000;0,356805;;;
001201;0000;0,343279;;;
010101;0000;0,288978;;;
010201;0000;0,340178;;;
010301;0000;0,659408;;;
010401;0000;1,02347;;;
010501;0000;1,65309;;;
010601;0000;2,32;;;
010701;0000;1,28026;;;
010801;0000;1,53969;;;
010901;0000;0,678219;;;
011001;0000;0,386827;;;
011101;0000;0,203472;;;
011201;0000;0,243414;;;
020101;0000;0,228897;;;
020201;0000;0,25306;;;
020301;0000;0,496191;;;
020401;0000;1,15582;;;
020501;0000;1,85296;;;
020601;0000;2,96745;;;
020701;0000;2,65658;;;
020801;0000;1,52132;;;
020901;0000;0,670586;;;
021001;0000;0,396871;;;
021101;0000;0,331249;;;
021201;0000;0,270967;;;
030101;0000;0,344214;;;
030201;0000;0,383991;;;
030301;0000;0,506854;;;
030401;0000;1,21014;;;
030501;0000;2,69194;;;
030601;0000;1,97093;;;
030701;0000;2,11559;;;
030801;0000;1,2531;;;
030901;0000;0,579305;;;
031001;0000;0,390188;;;
031101;0000;0,244293;;;
031201;0000;0,230107;;;
040101;0000;0,217204;;;
040201;0000;0,274137;;;
